start,end,time,year
110160,51122,1952-03-01,1952
110160,17895,1952-03-01,1952
54752,17895,1952-03-01,1952
54752,35609,1953-03-01,1953
54752,92516,1954-03-01,1954
110756,36725,1952-03-01,1952
17462,33265,1952-03-01,1952
17462,13143,1953-03-01,1953
27762,17462,1952-03-01,1952
27762,54529,1953-03-01,1953
70357,33430,1952-03-01,1952
70357,81699,1953-03-01,1953
17455,105983,1952-03-01,1952
17455,56284,1952-03-01,1952
12861,12133,1952-03-01,1952
12861,33265,1952-03-01,1952
12861,54529,1953-03-01,1953
12861,35609,1953-03-01,1953
92516,36725,1952-03-01,1952
92516,38188,1953-03-01,1953
92516,39895,1954-03-01,1954
56284,12133,1952-03-01,1952
56284,36725,1952-03-01,1952
56284,27762,1953-03-01,1953
89396,55964,1952-03-01,1952
89396,105231,1957-03-01,1957
110281,89396,1952-03-01,1952
110281,55964,1952-03-01,1952
110281,39662,1953-03-01,1953
110281,55964,1953-03-01,1953
94056,41657,1952-03-01,1952
94056,89396,1952-03-01,1952
94056,83816,1954-03-01,1954
33283,55964,1952-03-01,1952
33283,110281,1952-03-01,1952
19109,33283,1952-03-01,1952
19109,55964,1953-03-01,1953
39662,41657,1952-03-01,1952
39662,89396,1952-03-01,1952
39662,33222,1953-03-01,1953
75014,11921,1952-03-01,1952
44322,89396,1952-03-01,1952
44322,38188,1953-03-01,1953
44322,38188,1954-03-01,1954
44322,39895,1954-03-01,1954
44322,55746,1955-03-01,1955
23404,39662,1952-03-01,1952
23404,71397,1955-03-01,1955
23404,33748,1955-03-01,1955
38188,23404,1952-03-01,1952
38188,39662,1953-03-01,1953
38188,49020,1953-03-01,1953
38188,56284,1954-03-01,1954
44312,41751,1952-03-01,1952
103199,11286,1952-03-01,1952
103199,55941,1954-03-01,1954
103199,94056,1954-03-01,1954
88076,43536,1952-03-01,1952
13378,88076,1952-03-01,1952
13378,83816,1953-03-01,1953
35304,32299,1952-03-01,1952
35304,13378,1953-03-01,1953
35304,2727,1953-03-01,1953
83816,35304,1952-03-01,1952
69057,78148,1952-03-01,1952
69057,90023,1952-03-01,1952
43536,78148,1952-03-01,1952
43536,90023,1952-03-01,1952
43536,32596,1953-03-01,1953
43536,20955,1953-03-01,1953
43536,88076,1954-03-01,1954
43536,11951,1954-03-01,1954
43536,91004,1955-03-01,1955
43536,65036,1955-03-01,1955
34305,78148,1952-03-01,1952
34305,103199,1952-03-01,1952
93025,13693,1952-03-01,1952
78482,44443,1952-03-01,1952
78482,55534,1952-03-01,1952
78482,45282,1953-03-01,1953
78482,28757,1953-03-01,1953
78482,13036,1956-03-01,1956
78482,70310,1956-03-01,1956
13252,13693,1952-03-01,1952
2834,44443,1952-03-01,1952
2834,55534,1952-03-01,1952
2834,43536,1953-03-01,1953
2834,43536,1954-03-01,1954
111063,78482,1952-03-01,1952
41496,27590,1953-03-01,1953
58387,41496,1952-03-01,1952
35316,41496,1952-03-01,1952
46967,58387,1952-03-01,1952
46967,35316,1952-03-01,1952
85665,46967,1952-03-01,1952
32565,13254,1952-03-01,1952
12779,45320,1953-03-01,1953
8479,91206,1953-03-01,1953
8479,45320,1953-03-01,1953
41096,12779,1953-03-01,1953
41096,91206,1953-03-01,1953
41096,11365,1955-03-01,1955
11614,12779,1953-03-01,1953
11614,8479,1953-03-01,1953
12218,11614,1953-03-01,1953
94102,8479,1953-03-01,1953
92801,12779,1953-03-01,1953
92801,8479,1953-03-01,1953
92801,11365,1954-03-01,1954
35222,45320,1953-03-01,1953
35222,91206,1953-03-01,1953
35222,70529,1955-03-01,1955
35222,28076,1955-03-01,1955
20653,35222,1953-03-01,1953
20653,45320,1954-03-01,1954
